Food_code,Seq_num,Additional_food_description,Start_date,End_date
11436000,1,all types and flavors,2017-01-01,2018-12-31
11440010,1,jalapeno dip,2017-01-01,2018-12-31
11440010,2,Southwest dip,2017-01-01,2018-12-31
11440010,3,greek yogurt based,2017-01-01,2018-12-31
11440010,4,regular or light,2017-01-01,2018-12-31
11440020,1,cucumber dill dip,2017-01-01,2018-12-31
11440020,2,greek yogurt based,2017-01-01,2018-12-31
11440020,3,regular or light,2017-01-01,2018-12-31
11440030,1,French onion dip,2017-01-01,2018-12-31
11440030,2,toasted onion dip,2017-01-01,2018-12-31
11440030,3,green onion dip,2017-01-01,2018-12-31
11440030,4,greek yogurt based,2017-01-01,2018-12-31
11440030,5,regular or light,2017-01-01,2018-12-31
11440040,1,greek yogurt based,2017-01-01,2018-12-31
11440040,2,regular or light,2017-01-01,2018-12-31
11440050,1,greek yogurt based,2017-01-01,2018-12-31
11440050,2,regular or light,2017-01-01,2018-12-31
11440060,1,Greek dip,2017-01-01,2018-12-31
11440070,1,greek yogurt based,2017-01-01,2018-12-31
11440070,2,regular or light,2017-01-01,2018-12-31
11446000,1,McDonald's Fruit 'n Yogurt Parfait,2017-01-01,2018-12-31
11446000,2,with granola,2017-01-01,2018-12-31
11460000,2,other flavors,2017-01-01,2018-12-31
11460000,3,swirl,2017-01-01,2018-12-31
11460000,4,in a cup,2017-01-01,2018-12-31
11460000,5,scoop,2017-01-01,2018-12-31
11460100,1,in a cup,2017-01-01,2018-12-31
11460100,2,scoop,2017-01-01,2018-12-31
11460500,1,other flavors,2017-01-01,2018-12-31
11460500,2,swirl,2017-01-01,2018-12-31
11460500,3,NS as to flavor,2017-01-01,2018-12-31
11460500,4,in a cup,2017-01-01,2018-12-31
11460510,1,in a cup,2017-01-01,2018-12-31
11461200,1,all flavors,2017-01-01,2018-12-31
11461200,2,prepackaged frozen yogurt cone,2017-01-01,2018-12-31
11461210,1,"frozen yogurt bar, NFS",2017-01-01,2018-12-31
11461210,2,stick,2017-01-01,2018-12-31
11461210,3,other flavors,2017-01-01,2018-12-31
11461210,4,swirl,2017-01-01,2018-12-31
11461210,5,with or without coating,2017-01-01,2018-12-31
11461220,1,stick,2017-01-01,2018-12-31
11461220,2,with or without coating,2017-01-01,2018-12-31
11461250,1,scooped or soft serve,2017-01-01,2018-12-31
11461260,1,other flavors,2017-01-01,2018-12-31
11461260,2,swirl,2017-01-01,2018-12-31
11461260,3,scooped or soft serve,2017-01-01,2018-12-31
11461300,1,other flavors,2017-01-01,2018-12-31
11461300,2,swirl,2017-01-01,2018-12-31
11461300,3,scooped or soft serve,2017-01-01,2018-12-31
11461320,1,scooped or soft serve,2017-01-01,2018-12-31
